source = i18286_H2O_

MJD    Freq    Val
 18490.625    66.8390983165432    1.11902    
 18490.625    64.7818643234579    1.74503    
 18490.625    63.5475239275655    1.50289    
 18490.625    61.901736733128    2.25483    
 18490.625    60.2559495386906    1.62976    
 18490.625    57.7872687469572    0.92217    
 18490.625    56.1414815525198    0.32186    
 18490.625    54.9071411566274    0.14841    
 18490.625    53.6728007608379    0.15237    
 18490.625    52.4384603649969    0.77931    
 18490.625    51.2041199691045    0.76149    
 18490.625    48.3239923788261    0.48176    
 18490.625    47.0896519829337    0.18546    
 18490.625    45.4438647884963    0.47335    
 18490.625    42.1522903996214    1.30745    
 18490.625    39.2721628092915    1.94979    
 18490.625    36.8034820175582    4.85775    
 18490.625    31.0432268369499    1.80012    
 18490.625    27.751652448075    1.34344    
 18490.625    24.8715248577452    0.3394    
 18490.625    22.4028440660119    0.42101    
 18490.625    21.1685036702223    0.20915    
 18490.625    19.93416327433    0.73842    
 18490.625    14.9968016909662    0.28822    
 18490.625    13.3510144965287    0.34872    
 18490.625    11.7052273020398    0.30524    
 18490.625    10.4708869061989    0.1815    
 18490.625    5.9449721214316    0.19453    
 18490.625    1.0076105380678    0.41392    
 18490.625    -4.3411978439954    0.27185    
 18490.625    -11.3357934204446    0.41471    
 18490.625    -14.627367809371    1.05474    
 18490.625    -17.5074953997008    1.17299    
 18490.625    -20.3876229899792    0.25753    
 18490.625    -22.0334101844167    0.14171    
 18490.625    -27.7936653650763    1.24621    
 18490.625    -29.4394525595138    0.96118    
 18490.625    -31.4966865525992    2.50244    
 18490.625    -33.5539205456846    0.82852    
 18490.625    -34.7882609415255    1.14239    
 18490.625    -36.8454949345595    0.52888    
 18490.625    -38.4912821290484    2.23586    
 18490.625    -41.3714097193782    2.39014    
 18490.625    -43.4286437124636    2.23795    
 18490.625    -46.308771302742    0.35148    
 18490.625    -47.9545584972309    0.74646    
 18490.625    -56.594941268169    0.39876    
 18490.625    -58.2407284626065    0.15573    
 18490.625    -66.8811112335446    0.41608    
 18490.625    -70.5841324210674    1.19447    
 18490.625    -72.6413664141528    4.08215    
 18490.625    -74.6986004072382    0.59518    
 18490.625    -76.7558344003236    1.12773    
 18490.625    -82.1046427822839    0.29461    
 18490.625    -85.3962171712102    2.52703    
 18490.625    -87.8648979629436    0.60349    
